clusterNum	maxK	pItem	pFeature	clusterAlg	distance	avg_silhouette_width
2	5	0.8	0.5	pam	maximum	0.272081847
2	5	0.7	0.6	pam	maximum	0.262418948
2	5	0.6	0.5	pam	maximum	0.259863915
2	7	0.6	0.5	pam	maximum	0.259313824
2	6	0.6	0.6	pam	maximum	0.252472571
3	5	0.9	1	pam	canberra	0.872275891
3	7	0.9	1	pam	canberra	0.855392298
3	5	0.9	1	hc	canberra	0.851753688
3	7	0.9	1	hc	canberra	0.817686183
3	6	0.8	1	hc	canberra	0.804114245
3	6	0.9	1	hc	spearman	0.793060993
3	6	0.9	1	pam	spearman	0.780510154
3	5	0.7	1	hc	canberra	0.763135325
3	7	0.7	1	hc	canberra	0.761530334
3	6	0.8	1	pam	canberra	0.760832438
3	6	0.9	0.9	hc	canberra	0.748452247
3	7	0.8	0.9	hc	canberra	0.746823271
3	6	0.6	1	hc	canberra	0.742737977
3	7	0.8	1	hc	spearman	0.739326899
3	5	0.8	0.9	hc	canberra	0.734001981
3	5	0.8	1	pam	spearman	0.733782822
3	5	0.9	0.8	hc	canberra	0.73260254
3	7	0.8	1	pam	spearman	0.732321449
3	6	0.7	0.9	hc	canberra	0.731894222
3	5	0.5	1	hc	canberra	0.730663902
3	5	0.8	1	hc	spearman	0.730463967
3	7	0.5	1	hc	canberra	0.726592757
3	7	0.9	0.8	hc	canberra	0.725940987
3	5	0.6	0.9	hc	canberra	0.71369458
3	7	0.7	0.8	hc	canberra	0.711980035
3	7	0.6	0.9	hc	canberra	0.71151674
3	6	0.8	0.8	hc	canberra	0.703657219
3	6	0.7	1	hc	spearman	0.698384427
3	6	0.7	1	pam	spearman	0.697145606
3	7	0.8	0.7	hc	canberra	0.69102162
3	6	0.6	0.8	hc	canberra	0.690965093
3	6	0.5	0.9	hc	canberra	0.690200475
3	5	0.7	0.8	hc	canberra	0.687402721
3	5	0.5	0.8	hc	canberra	0.682090407
3	7	0.5	0.8	hc	canberra	0.676767562
3	5	0.7	1	pam	canberra	0.676131707
3	5	0.6	1	hc	spearman	0.672115829
3	5	0.8	0.7	hc	canberra	0.671824813
3	5	0.9	0.9	hc	spearman	0.671084104
3	7	0.6	1	hc	spearman	0.670458975
3	6	0.9	0.7	hc	canberra	0.666278265
3	5	0.9	0.9	pam	spearman	0.665455302
3	7	0.7	1	pam	canberra	0.66384142
3	7	0.9	0.9	hc	spearman	0.662076525
3	5	0.6	0.7	hc	canberra	0.661568918
3	6	0.9	0.9	pam	canberra	0.653004147
3	7	0.6	0.7	hc	canberra	0.646442712
3	7	0.9	0.6	hc	canberra	0.644247538
3	6	0.5	1	hc	spearman	0.64377328
3	6	0.8	0.9	pam	spearman	0.643027671
3	5	0.6	1	pam	spearman	0.642552392
3	7	0.6	1	pam	spearman	0.641563326
3	6	0.8	0.9	hc	spearman	0.639202779
3	7	0.9	0.9	pam	spearman	0.638473861
